Column1	x	y	z	sentence	labels	my_categories	model_gen_cat
47	14.0402975	12.089494	-2.9777782	Add events on dropped packet by security groups firewall This patch includes: - A boolean event parameter addition to the security group entity (API/DB/Propagation to the Firewall driver) - An extension of the existing iptables firewall driver that sends events to ceilometer To use these patch with complete events you need: - To activate ceilometer to your devstack configuration file adding these lines (section [[local|localrc]]): enable_service ceilometer-acompute ceilometer-acentral ceilometer-anotification ceilometer-collector enable_service ceilometer-alarm-evaluator_ceilometer-alarm-notifier enable_service ceilometer-api - To add parameter to 'ml2_confini' file in your devstack configuration file adding these lines: [securitygroup] firewall_event_driver=neutronagentlinuxiptables_firewall_event_syslogIptablesFirewallSyslogEventDriver - Add the new events definition at the end of the 'file event_definitionsyaml' in ceilometer conf folder: - event_type: securitygroupsfirewalldrop* traits: &security_groups_firewall src_ip: fields: payloadsrc_ip dst_port_number: fields: payloaddst_port_number protocol: fields: payloadprotocol dst_ip: fields: payloaddst_ip dst_port_id: fields: payloaddst_port_id rule_type: fields: payloadrule_type time_stamp: fields: payloadtime_stamp tenant_id: fields: payloadtenant_id - Associate an instance to a security group that have the event column set to 1/true to receive the events Change-Id: I4defd2642cd70f3c2ee12f106c939a79d440c569 Status: Beta implementation for POC purpose Implements: blueprint security-groups-dropped-packets-event	-1	add_security_group_policy	includes_group_security
48	7.3578553	15.126615	-1.2589427	Create security group rules in loose loop Change-Id: I3e956b39c314b5bd236a4c1a762f01856cea2905 Closes-Bug: #1265937	8	add_security_group_policy	add_id_security_group
49	13.858741	14.276392	-1.8495072	Allow case-insensitive neutron security groups Initially_ nova-network security groups were case-insensitive Neutron validates security-group names regardless of case_ however they would fail when the scheduler would attempt to allocate the group to the instance causing it to enter into an ERROR state Now_ with this patch neutron allocate_for_instance allowing case-insentivie groups to be matched_ which boot an instance with running state Change-Id: Ia20895f86e3df5a7c9a2ed9d84c6ce16ae3fe0a1 Closes-Bug: #1286463	6	add_security_group_policy	validates_group_security
50	14.462345	11.071827	-1.9503137	Add callbacks for security group create/delete Add a notification listener to listen for the API notifications about created/updated/deleted objects This allows us to listen for security group and security group rule deletions and creations that don't result in a normal notification to the agents Change-Id: Icbeacf83b3cd2752a7a674e8e4aed045fcd09487	-1	add_security_group_policy	add_id_security_group
51	13.384484	18.01519	8.4769125	Adds message security plugins This adds an optional plugin framework for message security It also provides two plugin implementations_ a dummy pass through and one for using kite This is work in progress Change-Id: Icbed9d0aee4c84bb396f58bcb7516797a97a515b Implements: blueprint trusted-messaging	-1	add_security_group_policy	add_group_security
52	4.0440702	15.327015	5.830283	Reworded sentence in chapter 7 of the security guide Change-Id: I215dacdb8ee661da204fc6453a2cfaa3459f4342	1	add_security_policy	add_id_security_bug
53	7.655205	17.09092	-0.5664506	Ensure security group body does not always include description The description value for a security group is optional_ and doesn't need to be included if it's doesn't have a value Change-Id: Iac1e73e131ecdbf205f9a9d7b0401b52a6dc6789 Closes-Bug: 1434172	7	add_security_group_policy	changed_group_security
54	10.816049	11.801859	-4.7312555	WIP: Port Security Extension Blueprint: ml2-ovs-portsecurity Change-Id: Ib18a6250ab7f47c430055d5903c693ee437f8ea3	4	add_security_policy	enable_driver_port_security
55	7.3406143	15.280525	-0.8548821	[DONT MERGE] Enforce single worker to create a default security group This is a hacky attempt to see whether locks spread thru all the code that may trigger default security group creation will pass the gate This is an alternative for [1] but without db migrations_ so that it may apply to stable branches where we don't allow new migrations Change-Id: I996fe9f1747a025f065329ee50d4c621a01253ce Related-Bug: #1194579	-1	add_security_group_policy	add_id_security_group
56	8.983656	12.154571	-4.9914746	Adding security groups to existing ports Security groups were added to port request body only during creating port When both port id and security groups were provided in request for launching instance_ security groups were not updated in port In this change_ security groups are updated even in existing ports Change-Id: I660a989f7539109e5c3ea33dc835edc6c7980cd9 Closes-Bug: #1425294	4	add_security_group_policy	add_rule_security_group
57	7.0608315	14.982047	-1.0482826	Use 409 instead of 400 when security group or rule existed When create/update security group and create security group rule_ the current code returns 400_ but it should be 409 This patch fix this problem Change-Id: Ia42cc4c717cd1d73a6028f3cc3e28340d56c6f05	8	add_security_group_policy	add_id_security_group
58	12.621005	6.9621997	-5.558272	Hyper-V: Fixes security groups issue After this patch If19be8579ca734a899cdd673c919eee8165aaa0e refactored securitygroups_rpc_ prepare_devices_filter attempts to use methods unimplemented by the HyperV security groups driver For this reason_ binding ports fails with NotImplementedError if security groups are enabled Until the HyperV security groups driver reaches parity_ the use_enhanced_rpc property should be set to False on the HyperVSecurityAgent_ falling back to the old behaviour Change-Id: I8c28a67df4c1e94d2d944c7f19614164c79a49a4 Closes-Bug: #1415523	3	add_security_group_policy	refactored_id_security_group
59	2.7299135	14.590454	7.811145	Add Security Boot Mode into Management Interface This spec proposes adding security boot mode into Management Interface to set next boot with secure boot for deployment of Bare Metal depends on nodes capabilities: With Intel TXT hardware support and enable_ nodes can go to trust boot[1] With UEFI secure boot enable_ nodes can go to secure boot[2] [1]https://reviewopenstackorg/#/c/133902 [2]https://reviewopenstackorg/#/c/135845 Change-Id: Iae04573c0ba762c430ca3255af6f79cba22771eb	-1	add_security_policy	add_id_security_image
60	5.966003	18.316437	3.9960258	HP3PAR Remove support for user security for CIFS Taking out user security for CIFS Both CIFS and NFS are now secured by IP address User security was based on 3PAR local 'fsuser' This did not make sense in an environment with multiple drivers Change-Id: I0bc7389b8be9feb7f99aabe5ec879c052b902c0b Implements: blueprint hp3par-remove-cifs-user-access	-1	add_security_policy	cdot_port_security_user
61	9.06227	12.229422	-4.204142	This test case validates instance with no security group_ There is defect (1399525) in existing code that blocking Instance traffic after removing security group from the Instance port Change-Id: Ifadbfc65074d7b4db54104702c6ae6f88cf69d2e	4	add_security_group_policy	try_group_security_default
62	7.525203	16.701227	-0.24857734	description for "default" security group changed Changed the description of "default" security group from "default" to "default security group" Change-Id: I1ff06c5098973833d222c5577e1cbb138402886e Closes-Bug:1291570	7	add_security_group_policy	changed_group_security
63	7.0975924	16.0957	-0.13621435	Unlcear message deleting default security group Trying to delete default security group from a non-admin user gives an error "Conflict (HTTP 409) (Request-ID: req-152c2ec3-1f32-406f-9eeb-bb8ea48a4d11)" but no messgae is displayed to the user This is confusing as the user does not get to know why is he not allowed to remove the defaulty security group So updated the code to give a more optimal message to the user Closes-Bug: #1403747 Change-Id: I26f7421a81c109fb3f708962e4ca7b54c7ea4c3c	-1	add_security_group_policy	add_id_security_group
64	6.96688	18.94342	10.404519	Grafana security headers Enabling the security headers cookie_samesite x_content_type_options x_xss_protection Change-Id: I87eba1d56db6dbb1c2ed7392223b2124b0cf1897	0	add_context_security_container	adds_context_security_container
65	7.2836175	12.582539	7.6278167	[DNM] Test none security driver Change-Id: Ie32240fb5a67aec78e89114dac56d50e57713bca	1	testing	dnm_id_test_change
66	8.294344	14.757929	0.4559036	Rename default security group Kilo changed behaviour of security group naming It's impossible now to create 'Default' group if 'default' is present This fact affects to VPC creation_ so working test for VPC is added too Change-Id: Iab6090c41d23a3133f6cd95ff9be5f660096e66a	-1	add_security_group_policy	changed_group_security
67	10.797904	17.685028	-1.218616	Fix error raising in security groups method In case there were security groups not belonging to tenant on port _get_security_groups_on_port would try to raise exception but fail trying to index set This patch removes use of index and introduces new exception which provides better explanation of situation which occurred Continuing the work of https://reviewopenstackorg/#/c/124070/ Change-Id: Ia3e12464e390266e639a46c06595f6c4f8be5158 Closes-Bug: #1373816	4	add_security_group_policy	add_id_security_group
68	9.838784	14.294532	-3.6483684	add conntrack-tool to manage security group this patch introduce conntrack-tool to manage security group when a security group rule is deleted_ it should use conntrack-tool to delete the invalid ip connectivity Change-Id: I83ded140b37a4d276ab64911d73d4224b598c33b Partially-Implements: bp conntrack-in-security-group	-1	add_security_group_policy	add_group_security
69	12.461158	14.929576	1.7190244	setup all projects acls listed on openstack site: http://ciopenstackorg/gerrithtml setup with include gerrit::security_ manages groups_ All Projects security Change-Id: Icc489584829f3386d574b4c76ef625d8e4ff9c3e	1	add_security_group_policy	add_group_security
70	12.793264	6.5092473	-5.8519845	Fixes Hyper-V agent stateful security group rules Hyper-V does not allow stateful ACLs with "ANY" protocol_ meaning that security group rules which allows "ANY" protocol must be split up into separate rules for each protocol Also_ Hyper-V does not allow stateful ICMP rules_ which means ICMP rules must be added both inbound and outbound Change-Id: I0d4a6ebc6023ea616cf92539273b8b36a6b24ae0	3	add_security_group_policy	add_id_security_group
71	8.331013	14.7030735	-0.89158094	Enable setting default rules for default security group Blueprint: default-rules-for-default-security-group Change-Id: Iafe3432d37bb0c03d8e0be04e2641c37dab9a35a	8	add_security_group_policy	add_id_security_group
72	15.151813	13.695251	-1.9632294	Not to create default security group if neutron sg is used Change-Id: Ib38ab5490118367d39f9411f0a99c3f57bb9a92f Closes-Bug: 1337912	6	add_security_group_policy	add_group_security
73	6.3374367	16.259232	1.0790696	fix choosing default security group Change-Id: Ib0107ee5181fe8e2be347b385d5ce48ab4165a2e	7	add_security_group_policy	add_id_security_group
74	14.902728	14.054571	-1.2137381	WIP: Add a --trust-me option to security group create Create a default set of rules for the new security group that is wide open This is nova-network only until OSC gets Neutron support Change-Id: Ic543abf8c74155807fd66ccecd98cbd55900d39c	-1	add_security_group_policy	add_id_security_group
75	12.754425	13.285369	-3.5658891	Allow security group rules to be specified in both directions Currently it is only possible to create security group rules with ingress or egress direction This means that in case when a user needs to create identically configured ingress and egress rules he/she has to run the create command twice This patch extends a list of choices for security-group-rule-create direction argument with 'both' Corresponding patch for neutron: https://reviewopenstackorg/#/c/140676 Change-Id: Ifa3b09b63c9d6f01e4bb5aac9d7331e1692d69b2 Closes-Bug: #1325736	-1	add_security_group_policy	add_rule_security_group
76	7.570429	15.592718	2.0020134	WIP: Allow security group rules to be specified in both directions Change-Id: Icb3e720c15ac7ed8a657596c72cc3c08098f0931 Closes-Bug: #1325736	-1	add_security_group_policy	add_id_security_group
77	3.5027757	8.413367	-4.532056	NSX plugin security group rules summarization Summarize the security group rules before creating the rules in NSX controller This fix removes duplicate and redundant rules to yield same or smaller set of rules that enforces the same security policies on the hypervisors and reduce the NSX control cluster memory consumption Change-Id: Ib654ee400e8dd796d5660000d09c8adaf5dda16e Closes-Bug: 1376981	2	add_security_policy	nsx|p_id_security_group
78	10.103323	12.26482	-6.2160964	Improve performance of security group DB query The _select_ips_for_remote_group method was joining the IP allocation_ port_ allowed address pair_ and security group tables together in a single query Additionally_ it was loading all of the port columns and using none of them This resulted in a very expensive query with no benefit This patch eliminates the unnecessary use of the port table by joining the IP allocation table directly to the security groups and allowed address pairs tables In local testing of the method_ this sped it up by an order of magnitude Closes-Bug: #1373851 Change-Id: I12899413004838d2d22b691f1e2f3b18f7ec2c27 (cherry picked from commit 04df85b6e5a098f8f55bb82f04d9769763beb487)	-1	improve_performance	avoid_table_security_group
79	12.535964	9.798294	-3.2125556	OVSvAPP solution for VLAN and security groups Change-Id: I81a05a5c906a1fee43ed59cd38a46176682ca363	3	add_security_group_policy	add_group_security
80	9.233255	16.18013	-0.24952006	Add DSCP option to Security Groups This commit adds the DSCP option to the Security Groups client CLI Implements blueprint security-groups-dscp-filter-client Change-Id: Ia1da473d1d1b2f5d8f8c3b5f39cf6466ee595216	-1	add_security_group_policy	adds_group_security
81	11.974105	14.973957	1.6769667	Action support for security group rule Security Group is a core functionalies in the openstack The model is widly used and get famillier with many users Basically_ the security group will only supports ALLOW action and it's limited In this bp_ we are going to support more ACTIONS including DENY_ ALLOW_CONNECTION_ QoS and APPLY_SERVICE We will Also add new attributes for rule such as priority in rule in order to support these attributes Change-Id: I01eac77d07972ec1c941d2fb8691beee0dab9c9a	6	add_security_group_policy	add_group_security
82	7.5278935	16.990881	-0.5733112	Implements: Added code for do_secgroup_create Previously name & description are mendatory parameters_ now it sets to Now If want to create a security group you dont require name & description as mendatory Closes-Bug: #1254722 Change-Id: I399c270663bb5c1b4706ecd7e4452e8995da21bd	7	add_security_group_policy	changed_group_security
83	7.886294	13.243871	-1.1045873	Adding test for security group in trove Change-Id: Ic52efc55399c4ab2fc9d8776e52763b1bd56a1fb	-1	add_unit_test	add_test_security_group
84	13.182881	14.406718	-1.0094458	Security groups: prevent race for default security group creation When a VM is booted via the Nova the client connection is created with an admin user This causes problems when creating the neutron port That is_ there may be a race for the creation of the default security group for the tenant The problem was introduced by commit acf44dba26ca8dca47bfb5fb2916807f9f4e2060 Change-Id: Ie0199c71231a322704f1f49995facde09c92da25 Closes-bug: #1372570 (cherry picked from commit 32ea2e349decd750e25cb00a8c907b8f73f795f3)	6	add_security_group_policy	adds_group_security
85	10.207211	13.053067	-2.9313903	Updates default security group rules Adds new rules to the default security group in osbash cluster This will allow the users to ssh and ping the VM instance without having to modify the security groups Change-Id: If4eef488303637e90ae3397c51c533dfb1c6ba45	-1	add_security_group_policy	adds_id_security_port
